temperature	 b2xc	 b2xcerr	 b2B	 b2Berr	 b2tot	 b2toterr
15.00	 -241.441724728693146	    0.836056958010146	 -243.161484355917111	    0.853319968585539	 -241.871520000000004	    0.513783090000000
16.00	 -219.696967925318432	    0.776762662656134	 -218.804938792651001	    0.761187554218382	 -219.250959999999992	    0.543775610000000
18.00	 -182.818397037176027	    0.615071494118492	 -182.575860518436428	    0.642561328333778	 -182.697080000000000	    0.444754670000000
20.00	 -156.210381085436524	    0.504600150903360	 -156.702900682267767	    0.544707371748693	 -156.333799999999997	    0.313131250000000
22.00	 -134.226029755339795	    0.460808588459675	 -134.458990604747584	    0.443635486438232	 -134.342770000000002	    0.319800200000000
24.00	 -117.992525726963862	    0.404995493367085	 -117.883391376103916	    0.418263163030885	 -117.937759999999997	    0.291140520000000
25.00	 -110.491252375445441	    0.373490020160928	 -111.042628496269515	    0.368991946202142	 -110.630359999999996	    0.227903440000000
26.00	 -104.557956647204179	    0.361418228492801	 -103.596488823535140	    0.357341603475836	 -104.074569999999994	    0.254112010000000
27.00	  -97.979649377360630	    0.332167504255898	  -98.001188953074248	    0.352727611117054	  -97.990489999999994	    0.242356820000000
28.00	  -92.458553540083727	    0.328273047353606	  -92.750225182488350	    0.324154330697581	  -92.605514999999997	    0.230656900000000
29.00	  -87.911152905536653	    0.319551537480322	  -87.563429873199766	    0.316518518591221	  -87.735731999999999	    0.224877090000000
30.00	  -83.207081294776899	    0.302937124769934	  -82.351128246103571	    0.291589690422311	  -82.988606000000004	    0.183685290000000
31.00	  -79.113871069637128	    0.295169563790924	  -79.369143031215799	    0.294487786282670	  -79.243071999999998	    0.208485250000000
32.00	  -75.316195063834073	    0.268482877229652	  -74.810502451599888	    0.281095860131038	  -75.059687999999994	    0.194506000000000
33.00	  -71.303850741209658	    0.263183115825244	  -71.126845551407513	    0.262302853831045	  -71.213832999999994	    0.185804170000000
34.00	  -68.330484647044500	    0.257414556445589	  -68.039849501061383	    0.270281869217892	  -68.182230000000004	    0.186846150000000
35.00	  -64.903227426478793	    0.259385518581291	  -64.630788902429018	    0.261759112387363	  -64.831839000000002	    0.157906360000000
36.00	  -61.751345204606245	    0.238325995140365	  -62.156795197032501	    0.256161890104179	  -61.959721999999999	    0.175360410000000
37.00	  -59.185357893155704	    0.236556772061836	  -58.751194879943000	    0.240343788484827	  -58.961216000000000	    0.168791300000000
38.00	  -57.007029501373900	    0.238251877646063	  -56.940497047301427	    0.239668469387382	  -56.972507000000000	    0.169129320000000
39.00	  -53.736397453738753	    0.233678358494640	  -53.776278987401668	    0.231822992976226	  -53.757207999999999	    0.164680130000000
40.00	  -51.517092248040427	    0.215627187768513	  -51.773565997824448	    0.219820242619251	  -51.587738999999999	    0.130597220000000
42.00	  -47.273215857141643	    0.211877942269436	  -47.297503016665416	    0.210185053258834	  -47.286113000000000	    0.149435550000000
44.00	  -43.391944732182147	    0.203308986661245	  -43.381667503770743	    0.201736274421615	  -43.386423000000001	    0.143521850000000
45.00	  -41.681796022793890	    0.195604745906203	  -41.760844968366250	    0.197000287459321	  -41.704892999999998	    0.117261410000000
46.00	  -40.376450330529309	    0.191176014668655	  -40.078581255834969	    0.186852606101855	  -40.214471000000003	    0.133906790000000
48.00	  -36.668227947787834	    0.183600922419029	  -36.939638471743692	    0.193863627857546	  -36.817618000000003	    0.134906210000000
50.00	  -33.858517858861532	    0.180724605965282	  -33.852365201891949	    0.179830606191601	  -33.856606999999997	    0.107281710000000
55.00	  -27.786492554587017	    0.165941911841309	  -27.899378944883718	    0.174541884540136	  -27.851396000000001	    0.122660790000000
