temperature	 b2xc	 b2b	 b2tot
Temperature(\si{\kelvin})	 B$^\text{xc}_2$(\si{cm^3/mol})	 B$^\text{B}_2$(\si{cm^3/mol})	 B$^\text{Tot}_2$(\si{cm^3/mol})
15.00	 -211.7(8)	 -211.7(8)	 -211.7(6)
20.00	 -139.7(5)	 -142.4(5)	 -141.0(4)
25.00	 -102.4(4)	 -103.2(4)	 -102.8(3)
30.00	 -78.5(3)	 -78.7(3)	 -78.6(2)
35.00	 -61.7(3)	 -61.5(3)	 -61.60(18)
40.00	 -49.1(2)	 -49.1(2)	 -49.11(16)
45.00	 -39.8(2)	 -40.1(2)	 -40.00(14)
50.00	 -32.15(19)	 -32.60(19)	 -32.40(13)
60.00	 -21.66(16)	 -22.05(16)	 -21.89(12)
75.00	 -11.45(13)	 -11.47(13)	 -11.46(10)
90.00	 -4.71(11)	 -5.77(12)	 -5.48(9)
100.00	 -1.85(11)	 -1.57(11)	 -1.63(9)
